Order reference;lakierowane
500239;12.3
500240;8.6
500465;21.46
520444;35.24
520446;8.56
520478;20.27
520479;26.7
520484;15.2
732086;19.6
738139;0
738155;10
738158;20
738159;10
738172;19.3
738172;19.3
738175;8
738175;8
738176;9
738182;20.5
738189;8
738203;8
738207;17.6
738211;9
738213;8
738238;8
738262;9
738263;8
738264;0
739012;0
739013;20
739014;20
739015;17.6
739016;22
739017;10
739018;22
739025;22
739026;24
739027;24
739028;24
739029;8
739084;26
743064;8
810083;19.1
810084;13.4
820358;18.5
820359;22
820393;26.4
820394;13.76
999026;46.32
999061;36.95
999068;43.27
999075;51.99
999078;31.35
999079;36.82
999080;36.05
999082;31.93
999088;48.82
999090;65.91
999093;29.39
999094;35.73
999095;35.16
999096;29.86
999097;46.23
999102;34.93
999103;40.15
999106;46.37
999107;36.24
999110;40.65
999111;41.98
999112;45.86
999115;52.43
999116;31.85
999118;44.69
999119;37.82
999120;35.78
999123;39.44
999126;20.96
999127;26.23
999128;23.87
999140;33.75
999146;47.41
999147;47.34
999148;54.72
999152;25.52
999157;32.26
999158;67.53
999160;48.73
999161;68.22
999164;50.77
999165;39.35
999166;40.47
999168;46.51
999169;47.76
999170;31.27
999172;51.59
999174;35.09
999175;31.73
999176;42.09
999177;29.38
999180;40.58
999186;47.17
999187;61.1
999189;24.78
999190;39.61
999192;26.42
999194;40.82
999202;62.25
999206;55.25
999211;52.34
999212;50.24
999213;35.85
999215;56.75
999231;33.22
999232;41.72
999233;38.16
999234;43.65
999241;27.77
999243;34.64
999244;39.87
999245;34.47
999246;40.01
999247;38.42
999248;46.94
999249;82.39
999250;20.25
999251;24.05
999252;37.76
999255;33.02
999256;89.54
999257;51.21
999258;28.13
999270;42.94
999271;48.16
999282;37.81
999283;28.73
999286;56.54
999287;82.2
999288;31.94
999291;75.8
999292;60.74
999293;50.79
999294;50.82
999302;49.62
999308;60.1
999309;35.4
999310;63.4
999311;43.36
999312;33.78
999313;41.04
999315;43.01
999316;26.01
999317;32.87
999318;38.1
999319;32.7
999320;38.24
999321;18.56
999327;33.33
999329;52.55
999330;81.1
999331;44.92
999332;40.07
999333;35.22
999342;57.1
999343;37.02
999347;30.9
999348;41.3
999349;48.23
999350;22.9
999351;31.25
999352;40
999353;58
999354;30.3
999355;26.4
